,name,PV,player_id,Unnamed: 0,PlayerId,gamenum,team,points,position,div,primaryPosition
41785,Adam Boqvist,1,ID8480871,159544.0,ID8480871,86.0,16.0,0.0,D,W,D
41786,Adam Boqvist,1,ID8480871,159545.0,ID8480871,87.0,16.0,0.0,D,W,D
41787,Adam Boqvist,1,ID8480871,159546.0,ID8480871,88.0,16.0,0.0,D,W,D
41788,Adam Boqvist,1,ID8480871,159547.0,ID8480871,89.0,16.0,0.0,D,W,D
41789,Adam Boqvist,1,ID8480871,159548.0,ID8480871,90.0,16.0,0.0,D,W,D
41790,Adam Boqvist,1,ID8480871,159549.0,ID8480871,91.0,16.0,0.0,D,W,D
41791,Adam Boqvist,1,ID8480871,159550.0,ID8480871,92.0,16.0,0.0,D,W,D
41684,Adam Boqvist,1,ID8480871,76045.0,ID8480871,93.0,16.0,0.0,D,W,D
41675,Adam Boqvist,1,ID8480871,68340.0,ID8480871,94.0,16.0,1.0,D,W,D
41667,Adam Boqvist,1,ID8480871,59455.0,ID8480871,95.0,16.0,0.0,D,W,D
41671,Adam Boqvist,1,ID8480871,63399.0,ID8480871,96.0,16.0,0.0,D,W,D
41792,Adam Boqvist,1,ID8480871,159551.0,ID8480871,97.0,16.0,0.0,D,W,D
41665,Adam Boqvist,1,ID8480871,57529.0,ID8480871,98.0,16.0,0.0,D,W,D
41696,Adam Boqvist,1,ID8480871,88165.0,ID8480871,99.0,16.0,0.0,D,W,D
41793,Adam Boqvist,1,ID8480871,159552.0,ID8480871,100.0,16.0,0.0,D,W,D
41794,Adam Boqvist,1,ID8480871,159553.0,ID8480871,101.0,16.0,0.0,D,W,D
41795,Adam Boqvist,1,ID8480871,159554.0,ID8480871,102.0,16.0,0.0,D,W,D
41796,Adam Boqvist,1,ID8480871,159555.0,ID8480871,103.0,16.0,0.0,D,W,D
41797,Adam Boqvist,1,ID8480871,159556.0,ID8480871,104.0,16.0,0.0,D,W,D
41798,Adam Boqvist,1,ID8480871,159557.0,ID8480871,105.0,16.0,0.0,D,W,D
41799,Adam Boqvist,1,ID8480871,159558.0,ID8480871,106.0,16.0,0.0,D,W,D
41800,Adam Boqvist,1,ID8480871,159559.0,ID8480871,107.0,16.0,0.0,D,W,D
41801,Adam Boqvist,1,ID8480871,159560.0,ID8480871,108.0,16.0,0.0,D,W,D
41802,Adam Boqvist,1,ID8480871,159561.0,ID8480871,109.0,16.0,0.0,D,W,D
41803,Adam Boqvist,1,ID8480871,159562.0,ID8480871,110.0,16.0,0.0,D,W,D
41804,Adam Boqvist,1,ID8480871,159563.0,ID8480871,111.0,16.0,0.0,D,W,D
41689,Adam Boqvist,1,ID8480871,80198.0,ID8480871,112.0,16.0,1.0,D,W,D
41697,Adam Boqvist,1,ID8480871,88737.0,ID8480871,113.0,16.0,0.0,D,W,D
41690,Adam Boqvist,1,ID8480871,81077.0,ID8480871,114.0,16.0,0.0,D,W,D
41673,Adam Boqvist,1,ID8480871,65802.0,ID8480871,115.0,16.0,0.0,D,W,D
41668,Adam Boqvist,1,ID8480871,60351.0,ID8480871,116.0,16.0,0.0,D,W,D
41680,Adam Boqvist,1,ID8480871,73606.0,ID8480871,117.0,16.0,1.0,D,W,D
41687,Adam Boqvist,1,ID8480871,78560.0,ID8480871,118.0,16.0,0.0,D,W,D
