name,PV
Frederik Andersen,4
Sergei Bobrovsky,3
Jack Campbell,2
Mike Condon,2
Pheonix Copley,2
Casey Desmith,2
Chris Driedger,2
Brian Elliott,3
Alexandar Georgiev,2
Christopher Gibson,2
Thomas Greiss,3
Jaroslav Halak,3
Carter Hart,3
Braden Holtby,3
Tristan Jarry,3
Kasimir Kaskisuo,2
Keith Kinkaid,2
Matiss Kivlenieks,2
Joonas Korpisalo,3
Max Lagace,2
Charlie Lindgren,2
Henrik Lundqvist,3
Alex Lyon,2
Elhinney Mc,3
Elvis Merzlikins,3
Samuel Montembault,2
Petr Mrazek,3
Matt Murray,3
Alex Nedeljkovic,2
Carey Price,3
Tuukka Rask,4
James Reimer,3
Ilya Samsonov,3
Igor Shesterkin,2
Semyon Varlamov,3
Andrei Vasilevskiy,4
